конто|ко+нто
коммунистически|коммунисти+чески
комсомольски|комсомо+льски
корейски|коре+йски
кошачьему|коша+чьему
крестьянски|крестья+нски
кулацки|кула+цки
купечески|купе+чески
лакейски|лаке+йски
латыни|латы+ни
латышски|латы+шски
лебединому|лебеди+ному
ленински|ле+нински
летнему|ле+тнему
литовски|лито+вски
людски|людски+
мальчишески|мальчи+шески
марксистски|маркси+стски
матерински|матери+нски
матросски|матро+сски
медвежьи|медве+жьи
мещански|меща+нски
мирски|мирски+
моему|мо+ему
молдавски|молда+вски
молодецки|молоде+цки
монашески|мона+шески
монгольски|монго+льски
мужски|мужски+
настоящему|настоя+щему
нашему|на+шему
немецки|неме+цки
нищенски|ни+щенски
новому|но+вому
нынешнему|ны+нешнему
обезьяньи|обезья+ньи
осеннему|осе+ннему
отечески|оте+чески
отцовски|отцо+вски
охотничьи|охо+тничьи
партийному|парти+йному
пионерски|пионе+рски
пластунски|пласту+нски
польски|по+льски
правдашнему|пра+вдашнему
прежнему|пре+жнему
приятельски|прия+тельски
пролетарски|пролета+рски
простецки|просте+цки
птичьи|пти+чьи
пустому|пусто+му
разному|ра+зному
рачьи|ра+чьи
ребячески|ребя+чески
ребячьи|ребя+чьи
революционному|революцио+нному
родительски|роди+тельски
родственному|ро+дственному
румынски|румы+нски
русски|ру+сски
рыбацки|рыба+цки
рыбачьи|рыба+чьи
рыбьи|ры+бьи
рыцарски|ры+царски
светски|све+тски
свински|сви+нски
свинячьи|свиня+чьи
своему|сво+ему
свойски|сво+йски
семейному|семе+йному
сербскохорватски|сербскохорва+тски
сестрински|се+стрински
сибирски|сиби+рски
сиротски|сиро+тски
скотски|ско+тски
словацки|слова+цки
словенски|слове+нски
собачьи|соба+чьи
советски|сове+тски
солдатски|солда+тски
соловьиному|соловьи+ному
соседски|сосе+дски
социалдемократически|социалдемократи+чески
справедливому|справедли+вому
стариковски|старико+вски
старинному|стари+нному
старому|ста+рому
старушечьи|стару+шечьи
суворовски|суво+ровски
таджикски|таджи+кски
твоему|тво+ему
телячьи|теля+чьи
теперешнему|тепе+решнему
товарищески|това+рищески
турецки|туре+цки
туркменски|туркме+нски
ударному|уда+рному
узбекски|узбе+кски
украински|украи+нски
утиному|ути+ному
утреннему|у+треннему
флотски|фло+тски
французски|францу+зски
фронтовому|фронтово+му
хозяйски|хозя+йски
хорошему|хоро+шему
царски|ца+рски
цыгански|цыга+нски
человечески|челове+чески
человечьи|челове+чьи
чешски|че+шски
шакальи|шака+льи
шведски|шве+дски
юношески|ю+ношески
японски|япо+нски
пусковой|пусково+й
транспортный|тра+нспортный
арбуза|арбу+за
аршина|арши+на
игры|игры+
имения|име+ния
лимона|лимо+на
линии|ли+нии
листа|листа+
литра|ли+тра
литровый|литро+вый
ложки|ло+жки
лота|ло+та
москвы|москвы+
оборота|оборо+та
огурца|огурца+
одиннадцатого|оди+ннадцатого
осьмухи|осьму+хи
осьмушки|осьму+шки
очка|очка+
училища|учи+лища
яблока|я+блока
ягоды|я+годы
ящика|я+щика
ансамбль|анса+мбль
арт|а+рт
группа|гру+ппа
музыка|му+зыка
мюзикл|мю+зикл
почему|почему+
почему|почему+
почему|почему+
левацкий|лева+цкий
автомат|автома+т
атташе|атташе+
брифинг|бри+финг
бюллетень|бюллете+нь
бюро|бюро+
клише|клише+
конвейер|конве+йер
конференция|конфере+нция
ножницы|но+жницы
папье|папье+
подборщик|подбо+рщик
порошок|порошо+к
релиз|рели+з
служба|слу+жба
фильтр|фи+льтр
форма|фо+рма
центр|це+нтр
отправительный|отправи+тельный
передающий|передаю+щий
сортировочный|сортиро+вочный
усилительный|усили+тельный
раздаточный|разда+точный
сдаточный|сда+точный
дорога|доро+га
дерево|де+рево
отшельник|отше+льник
раным|раны+м
раным|раны+м
технический|техни+ческий
бемоль|бемо+ль
мажорный|мажо+рный
минорный|мино+рный
группа|гру+ппа
розовато|розова+то
ансамбль|анса+мбль
группа|гру+ппа
