абвер|а+бве+р
аэрофотография|аэрофотогра+фия
аэрофотометрический|аэрофотометри+ческий
аэрофотометрия|аэрофотоме+три+я
аэрофоторазведка|аэрофоторазве+дка
аэрофототопография|аэрофототопогра+фия
аэроцистит|аэроцисти+т
аэроэлектроразведка|аэроэлектроразве+дка
баба-яга|ба+ба-яга+
багрово-красный|багро+во-кра+сный
багрово-синий|багро+во-си+ний
базилика|бази+ли+ка
баиньки-баю|ба+иньки-баю+
банковско-промышленный|ба+нковско-промы+шленный
банно-прачечный|ба+нно-пра+чечный
баня-прачечная|ба+ня-пра+чечная
барабанно-шаровой|бараба+нно-шарово+й
батюшки-светы|ба+тюшки-све+ты
баю-бай|ба+ю-ба+й
баю-баюшки-баю|ба+ю-ба+юшки-баю+
баюшки-баю|ба+юшки-баю+
бедняцко-середняцкий|бедня+цко-середня+цкий
безданно-беспошлинно|безда+нно-беспо+шлинно
безусловно-рефлекторный|безусло+вно-рефлекто+рный
безэлектродный|безэлектро+дный
безэмоциональный|безэмоциона+льный
белесо-голубой|беле+со-голубо+й
белково-витаминный|белко+во-витами+нный
белковоподобный|белково+подо+бный
бело-голубой|бе+ло-голубо+й
бело-красный|бе+ло-кра+сный
бело-розовый|бе+ло-ро+зовый
беловато-голубой|белова+то-голубо+й
беловато-розовый|белова+то-ро+зовый
беломорско-балтийский|беломо+рско-балти+йский
белоэмигрант|белоэмигра+нт
белоэмигрантский|белоэмигра+нтский
белоэмигрантщина|белоэмигра+нтщина
бельэтаж|бельэта+ж
бензоэлектрический|бензоэлектри+ческий
бери-бери|бе+ри-бе+ри
беспроцентно-выигрышный|беспроце+нтно-вы+игрышный
бесцентрово-токарный|бесце+нтрово-тока+рный
бесцентрово-шлифовальный|бесце+нтрово-шлифова+льный
бета-глобулин|бе+та-глобули+н
бета-железо|бе+та-желе+зо
бета-излучение|бе+та-излуче+ние
бета-лучи|бе+та-лучи+
бета-распад|бе+та-распа+д
бета-спектрометр|бе+та-спектро+метр
бета-спектроскопия|бе+та-спектроскопи+я
бета-терапия|бе+та-терапи+я
бета-фильтр|бе+та-фи+льтр
бета-функция|бе+та-фу+нкция
бета-частицы|бе+та-части+цы
бетонно-растворный|бето+нно-раство+рный
библиотека-передвижка|библиоте+ка-передви+жка
бизань-ванты|биза+нь-ва+нты
бизань-мачта|биза+нь-ма+чта
билетно-кассовый|биле+тно-ка+ссовый
биолого-почвенный|био+лого-по+чвенный
биоэлектрический|биоэлектри+ческий
биоэнергетика|биоэнерге+тика
битум|би+ту+м
битумный|би+ту+мный
благоприобретение|благоприобре+те+ние
бледно-голубой|бле+дно-голубо+й
бледновато-розовый|бледнова+то-ро+зовый
блицкриг|бли+цкри+г
блокинг-генератор|бло+кинг-генера+тор
блочно-секционный|бло+чно-секцио+нный
блюминг-слябинг|блю+минг-сля+бинг
бобово-злаковый|бобо+во-зла+ковый
бобслей|бо+бсле+й
бозе-жидкость|бо+зе-жи+дкость
бозе-частица|бо+зе-части+ца
болгаро-советский|болга+ро-сове+тский
болгаро-турецкий|болга+ро-туре+цкий
болгарско-русский|болга+рско-ру+сский
болотно-лесной|боло+тно-лесно+й
больнично-поликлинический|больни+чно-поликлини+ческий
ботанико-географический|бота+нико-географи+ческий
бразильско-советский|брази+льско-сове+тский
бригадно-звеньевой|брига+дно-звеньево+й
бромисто-водородный|бро+мисто-водоро+дный
бронебойно-зажигательно-трассирующий|бронебо+йно-зажига+тельно-трасси+рующий
бронебойно-зажигательный|бронебо+йно-зажига+тельный
бронебойно-трассирующий|бронебо+йно-трасси+рующий
бронзирование|бронзи+рова+ние
бронзированный|бронзи+ро+ванный
бронзировать|бронзи+рова+ть
бруснично-красный|брусни+чно-кра+сный
бруснично-черничный|брусни+чно-черни+чный
